Index	X	Left to Right	X	Right to Left	X	Sum
151	1899/12/30 0:25:10	5	1899/12/30 0:25:10	5	1899/12/30 0:25:10	10
152	1899/12/30 0:25:20	4	1899/12/30 0:25:20	5	1899/12/30 0:25:20	9
153	1899/12/30 0:25:30	4	1899/12/30 0:25:30	3	1899/12/30 0:25:30	7
154	1899/12/30 0:25:40	7	1899/12/30 0:25:40	1	1899/12/30 0:25:40	8
155	1899/12/30 0:25:50	4	1899/12/30 0:25:50	4	1899/12/30 0:25:50	8
156	1899/12/30 0:26:00	3	1899/12/30 0:26:00	1	1899/12/30 0:26:00	4
157	1899/12/30 0:26:10	5	1899/12/30 0:26:10	2	1899/12/30 0:26:10	7
158	1899/12/30 0:26:20	6	1899/12/30 0:26:20	1	1899/12/30 0:26:20	7
159	1899/12/30 0:26:30	3	1899/12/30 0:26:30	2	1899/12/30 0:26:30	5
160	1899/12/30 0:26:40	4	1899/12/30 0:26:40	2	1899/12/30 0:26:40	6
161	1899/12/30 0:26:50	4	1899/12/30 0:26:50	2	1899/12/30 0:26:50	6
162	1899/12/30 0:27:00	2	1899/12/30 0:27:00	3	1899/12/30 0:27:00	5
163	1899/12/30 0:27:10	2	1899/12/30 0:27:10	3	1899/12/30 0:27:10	5
164	1899/12/30 0:27:20	5	1899/12/30 0:27:20	6	1899/12/30 0:27:20	11
165	1899/12/30 0:27:30	5	1899/12/30 0:27:30	8	1899/12/30 0:27:30	13
166	1899/12/30 0:27:40	4	1899/12/30 0:27:40	6	1899/12/30 0:27:40	10
167	1899/12/30 0:27:50	0	1899/12/30 0:27:50	12	1899/12/30 0:27:50	12
168	1899/12/30 0:28:00	3	1899/12/30 0:28:00	13	1899/12/30 0:28:00	16
169	1899/12/30 0:28:10	3	1899/12/30 0:28:10	12	1899/12/30 0:28:10	15
170	1899/12/30 0:28:20	1	1899/12/30 0:28:20	9	1899/12/30 0:28:20	10
171	1899/12/30 0:28:30	2	1899/12/30 0:28:30	5	1899/12/30 0:28:30	7
172	1899/12/30 0:28:40	4	1899/12/30 0:28:40	8	1899/12/30 0:28:40	12
173	1899/12/30 0:28:50	1	1899/12/30 0:28:50	5	1899/12/30 0:28:50	6
174	1899/12/30 0:29:00	2	1899/12/30 0:29:00	5	1899/12/30 0:29:00	7
175	1899/12/30 0:29:10	2	1899/12/30 0:29:10	10	1899/12/30 0:29:10	12
176	1899/12/30 0:29:20	4	1899/12/30 0:29:20	7	1899/12/30 0:29:20	11
177	1899/12/30 0:29:30	4	1899/12/30 0:29:30	9	1899/12/30 0:29:30	13
178	1899/12/30 0:29:40	4	1899/12/30 0:29:40	8	1899/12/30 0:29:40	12
179	1899/12/30 0:29:50	4	1899/12/30 0:29:50	8	1899/12/30 0:29:50	12
180	1899/12/30 0:30:00	7	1899/12/30 0:30:00	13	1899/12/30 0:30:00	20
181	1899/12/30 0:30:10	10	1899/12/30 0:30:10	8	1899/12/30 0:30:10	18
182	1899/12/30 0:30:20	11	1899/12/30 0:30:20	11	1899/12/30 0:30:20	22
183	1899/12/30 0:30:30	25	1899/12/30 0:30:30	6	1899/12/30 0:30:30	31
184	1899/12/30 0:30:40	13	1899/12/30 0:30:40	8	1899/12/30 0:30:40	21
185	1899/12/30 0:30:50	14	1899/12/30 0:30:50	4	1899/12/30 0:30:50	18
186	1899/12/30 0:31:00	17	1899/12/30 0:31:00	4	1899/12/30 0:31:00	21
187	1899/12/30 0:31:10	16	1899/12/30 0:31:10	4	1899/12/30 0:31:10	20
188	1899/12/30 0:31:20	11	1899/12/30 0:31:20	8	1899/12/30 0:31:20	19
189	1899/12/30 0:31:30	11	1899/12/30 0:31:30	4	1899/12/30 0:31:30	15
190	1899/12/30 0:31:40	12	1899/12/30 0:31:40	6	1899/12/30 0:31:40	18
191	1899/12/30 0:31:50	17	1899/12/30 0:31:50	11	1899/12/30 0:31:50	28
192	1899/12/30 0:32:00	18	1899/12/30 0:32:00	6	1899/12/30 0:32:00	24
193	1899/12/30 0:32:10	19	1899/12/30 0:32:10	6	1899/12/30 0:32:10	25
194	1899/12/30 0:32:20	10	1899/12/30 0:32:20	10	1899/12/30 0:32:20	20
195	1899/12/30 0:32:30	15	1899/12/30 0:32:30	1	1899/12/30 0:32:30	16
196	1899/12/30 0:32:40	27	1899/12/30 0:32:40	2	1899/12/30 0:32:40	29
197	1899/12/30 0:32:50	19	1899/12/30 0:32:50	2	1899/12/30 0:32:50	21
198	1899/12/30 0:33:00	12	1899/12/30 0:33:00	3	1899/12/30 0:33:00	15
199	1899/12/30 0:33:10	18	1899/12/30 0:33:10	1	1899/12/30 0:33:10	19
200	1899/12/30 0:33:20	18	1899/12/30 0:33:20	2	1899/12/30 0:33:20	20
201	1899/12/30 0:33:30	24	1899/12/30 0:33:30	3	1899/12/30 0:33:30	27
202	1899/12/30 0:33:40	20	1899/12/30 0:33:40	3	1899/12/30 0:33:40	23
203	1899/12/30 0:33:50	12	1899/12/30 0:33:50	1	1899/12/30 0:33:50	13
204	1899/12/30 0:34:00	10	1899/12/30 0:34:00	3	1899/12/30 0:34:00	13
205	1899/12/30 0:34:10	12	1899/12/30 0:34:10	2	1899/12/30 0:34:10	14
206	1899/12/30 0:34:20	14	1899/12/30 0:34:20	4	1899/12/30 0:34:20	18
