AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
52623;51;1744.2;1770;-17.2898;20.6547;6.25;9.6285;134.7207;
49506;1;836;836;14.2417;1.2279;0;0;0;
49506;59;889.2;1101.6;11.8855;27.0482;6;2.0028;72.7676;
49506;52;1136;1170;16.8152;29.8062;6.25;25.894;85.3143;
55409;54;2040;2062.8;16.7001;47.1;6;0;0;
55409;2;2170.8;2170.8;0.1714;114.9207;0;26.2215;110.9694;
58954;54;2760;2763.6001;8.7;47.1;6;0;0;
58954;14;2785.6001;2785.6001;-17.688;38.706;6;1.7674;30.2586;
53167;55;1860;1872;-1.7;55.4;6;0;0;
53167;12;1975.8;1975.8;-24.2669;73.6174;6;35.2874;86.0912;
49616;2;896;896;-10.5188;115.5026;0;0;0;
49616;59;950.4;1074;14.0721;81.6129;6;4.0134;78.4369;
49616;58;1077.4;1110;16.6111;82.064;6.25;4.657;81.0408;
48372;54;600;624;16.7001;47.1;6;0;0;
48372;2;719.4;719.4;1.8679;114.7407;0;10.9617;113.9533;
48555;58;1020;1022.4;8.8102;82.1;6;0;0;
48555;10;1122.4;1122.4;25.4661;46.2798;6;3.4697;88.4982;
48640;57;600;619.2;-17.28;72.9;6;0;0;
48640;59;768.4;1101.6;17.2119;26.1405;6;8.2975;136.0761;
48640;52;1108.4;1170;16.5992;29.3755;6.25;11.133;139.5309;
60066;52;3240;3249.6001;16.6801;29.6;6;0;0;
60066;59;3455;3506.3999;11.3365;74.8173;6;48.4212;124.7529;
60066;57;3534.6001;3570;5.7997;73.1138;6.25;65.6725;133.8683;
57023;2;2412;2412;14.5308;115.977;0;0;0;
57023;59;2495.2;2605.2;-13.5409;57.7029;6;5.3724;100.1031;
57023;55;2649.2;2670;-17.2804;55.1505;6.25;39.9965;111.071;
51962;58;1740;1765.2;16.8102;82.1;6;0;0;
51962;11;1948.8;1948.8;-25.4614;28.8778;6;37.1868;133.7735;
56713;52;2520;2526;8.68;29.6;6;0;0;
56713;56;2745.3999;2790;16.649;64.7788;6.25;89.5707;131.7443;
60322;55;3300;3324;-1.7;55.4;6;0;0;
60322;59;3437.6001;3513.6001;13.548;46.0948;6;50.5775;104.5394;
60322;54;3527;3570;8.8051;46.8639;6.25;57.1865;110.2182;
51739;57;1320;1336.8;-1.7801;72.9;6;0;0;
51739;59;1478.4;1825.2;15.9742;27.7239;6;57.5389;135.5488;
51739;52;1840.4;1890;16.4736;29.6698;6.25;67.853;141.3245;
46660;51;240;255.6;5.71;20.4;6;0;0;
46660;1;305.8;305.8;0.6347;2.605;0;5.4748;66.9801;
60358;58;3180;3228;8.8102;82.1;6;0;0;
60358;2;3333.6001;3333.6001;1.9077;114.8712;0;21.1698;83.6099;
62644;57;3480;3490.8;-1.7801;72.9;6;0;0;
62644;2;3573.8;3573.8;0.7896;114.9188;0;2.3776;88.1034;
46913;52;360;367.2;8.68;29.6;6;0;0;
46913;10;483;483;5.9185;46.3495;6;16.3491;102.1968;
47439;2;352;352;-14.2244;116.6025;0;0;0;
47439;56;555.8;630;23.9894;64.4216;6.25;47.4567;140.1154;
55372;51;2400;2403.6001;-9.79;20.4;6;0;0;
55372;59;2677;2700;2.3532;64.1422;6;44.2904;245.0018;
55372;56;2732.3999;2790;8.5644;64.8207;6.25;68.8637;253.1036;
58759;58;3180;3190.8;16.8102;82.1;6;0;0;
58759;2;3281.2;3281.2;-0.0819;114.9174;0;11.617;82.1487;
50916;2;1104;1104;-11.2244;116.6535;0;0;0;
50916;59;1188.4;1344;7.3969;74.4544;6;4.7783;91.0782;
50916;57;1347.8;1410;5.8845;72.9828;6.25;5.4295;93.416;
49534;2;856;856;-1.845;115.3104;0;0;0;
