AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
3175;1;577.6;577.6;-1.975;2.651;0;30.6123;89.2593;
45992;1;3530;3530;13.8591;1.5037;0;0;0;
7588;54;1320;1336.8;24.2;47.1;6;0;0;
7588;2;1463;1463;-0.2754;114.9455;0;11.1964;99.1388;
14990;56;3420;3436.8;1.19;64.6;6;0;0;
3511;51;960;969.6;-17.2899;20.4;6;0;0;
3511;2;1070.4;1070.4;0.8933;114.9215;0;1.7335;123.2927;
6704;51;1680;1728;-1.7899;20.4;6;0;0;
6704;59;1850.6;2092.8;-2.5029;44.627;6;41.5996;122.7631;
6704;54;2108;2130;1.0757;47.3446;6.25;50.2151;128.2698;
11335;53;2640;2661.6001;-9.71;37.9;6;0;0;
11335;2;2809.2;2809.2;-0.4005;114.8154;0;16.9103;114.3574;
5978;56;1260;1299.6;16.69;64.6;6;0;0;
5978;59;1429.4;1851.6;5.0337;27.3752;6;17.9048;109.4855;
5978;52;1880.2;1890;1.2567;29.3568;6.25;40.0731;116.3858;
10264;2;915;915;-13.6013;116.7037;0;0;0;
10264;55;1215.8;1230;-1.8552;55.5652;6.25;163.7973;132.5596;
12261;51;3120;3151.2;-9.79;20.4;6;0;0;
12261;1;3304.8;3304.8;-1.5317;2.687;0;87.9914;81.666;
28992;2;2325;2325;-13.2869;116.7081;0;0;0;
28992;59;2426.8;2818.8;-12.0643;73.6948;6;5.2449;87.4933;
28992;57;2843.3999;2850;-17.2045;72.6867;6.25;20.6326;96.5371;
42750;1;3315;3315;3.8846;1.4559;0;0;0;
42750;59;3488.6001;3600;3.4257;79.0966;6;163.5789;152.9353;
25064;2;1998;1998;-0.1515;116.315;0;0;0;
25064;59;2215.2;2632.8;6.8716;59.7884;6;89.8206;116.8339;
25064;55;2649;2670;5.8205;55.2038;6.25;97.2652;123.7456;
40945;1;3210;3210;13.8058;0.7352;0;0;0;
40945;2;3319.3999;3319.3999;-0.6742;114.7796;0;5.371;127.4805;
19117;2;1569;1569;-4.2986;115.8764;0;0;0;
19117;59;1837.8;2038.8;9.4147;62.7982;6;172.4765;131.7596;
19117;56;2052;2070;8.847;64.7995;6.25;181.103;136.7184;
4883;55;1140;1146;-9.7;55.4;6;0;0;
4883;11;1283.8;1283.8;-16.6983;28.8795;6;31.1026;151.8185;
37637;2;2934;2934;10.3879;116.6419;0;0;0;
37637;59;3136.2;3600;-1.2539;21.3718;6;518.0053;157.012;
8301;55;1860;1872;-17.2;55.4;6;0;0;
8301;1;1946;1946;1.3911;2.7282;0;2.8509;93.6646;
1356;2;111;111;11.5093;116.9794;0;0;0;
1356;59;193;476.4;-15.1639;56.1459;6;2.1753;99.0903;
1356;55;488.8;510;-17.0401;55.2566;6.25;9.97;102.8991;
9480;57;2040;2094;-9.7801;72.9;6;0;0;
9480;8;2312.6001;2312.6001;12.4675;81.4387;6;165.9209;62.1887;
9371;51;2400;2428.8;-9.79;20.4;6;0;0;
9371;2;2604.3999;2604.3999;-0.061;114.8306;0;29.3953;134.7435;
20458;2;1710;1710;-0.807;115.8019;0;0;0;
20458;59;1804.2;2095.2;25.0095;47.1547;6;20.1639;93.0182;
20458;54;2108.8;2130;24.4183;47.0911;6.25;27.5224;97.3899;
8883;57;2040;2066.3999;-1.7801;72.9;6;0;0;
8883;2;2154.8;2154.8;0.7745;114.7927;0;12.8009;87.3106;
13248;52;3240;3255.6001;16.6801;29.6;6;0;0;
13248;10;3483.8;3483.8;13.9361;46.3555;6;116.4124;169.5805;
5874;55;1140;1174.8;-9.7;55.4;6;0;0;
5874;2;1267;1267;-0.2937;114.9064;0;8.2476;96.6643;
27247;1;2142;2142;-3.5039;1.5379;0;0;0;
27247;59;2997;3600;15.8975;77.6237;6;1276.1605;244.6041;
14874;54;3480;3534;16.7001;47.1;6;0;0;
13203;53;3360;3376.8;-17.21;37.9;6;0;0;
13203;12;3577.6001;3577.6001;16.7997;73.5806;6;51.199;160.246;
8821;53;1920;1924.8;-9.71;37.9;6;0;0;
8821;59;2113;2451.6001;0.2813;22.4972;6;43.1125;125.5512;
8821;51;2471.8;2490;5.7382;20.1704;6.25;53.8694;133.8058;
10104;58;2460;2498.3999;8.8102;82.1;6;0;0;
10104;59;2637.6001;3417.6001;0.0724;40.075;6;51.529;142.7017;
10104;53;3436.6001;3450;5.5351;37.9399;6.25;61.8453;151.8849;
7799;58;1740;1777.2;1.3103;82.1;6;0;0;
7799;59;1782.4;2515.2;3.9993;77.7286;6;1.202;6.0357;
7799;59;2558.3999;3232.8;1.4357;78.936;6;34.001;20.9899;
7799;58;3246.6001;3270;1.2499;81.8329;6.25;41.9143;25.7155;
11527;51;3120;3130.8;-17.2899;20.4;6;0;0;
11527;59;3327.2;3600;20.3349;47.3488;6;351.6147;117.5518;
38720;2;3010;3010;5.6961;115.8191;0;0;0;
38720;1;3097.3999;3097.3999;0.8089;2.6754;0;3.6297;119.3831;
3557;56;540;564;24.19;64.6;6;0;0;
3557;54;687.8;690;24.3955;47.1851;6.25;32.539;71.0599;
14048;54;3480;3531.6001;16.7001;47.1;6;0;0;
19103;2;1566;1566;0.8565;116.3511;0;0;0;
19103;59;1794.2;2088;-4.3379;77.7292;6;161.1708;88.1104;
19103;57;2131.8;2130;-1.9034;72.6825;6.25;195.0642;98.2607;
6376;2;590;590;6.2437;116.4605;0;0;0;
6376;1;672.2;672.2;0.4045;2.6549;0;6.7349;120.7421;
9606;52;2520;2568;1.1801;29.6;6;0;0;
9606;59;2689.8;3345.6001;-12.2863;56.3089;6;21.1896;137.5003;
9606;55;3359;3390;-9.9217;55.4369;6.25;28.8283;141.7244;
10210;52;2520;2550;24.18;29.6;6;0;0;
10210;59;2666.6001;3418.8;-0.2583;43.8557;6;31.9468;108.5376;
10210;59;3558;3600;6.8612;25.1112;6;119.1056;232.4011;
15129;54;3480;3513.6001;1.2001;47.1;6;0;0;
15129;15;3597.8;3597.8;-25.8683;21.1118;6;22.2348;89.152;
5740;53;1200;1234.8;-17.21;37.9;6;0;0;
5740;1;1313.4;1313.4;-1.0913;2.6072;0;33.7026;70.3202;
5185;55;1140;1150.8;5.8;55.4;6;0;0;
5185;11;1225.2;1225.2;17.1006;28.7659;6;14.7932;102.7322;
10060;53;2640;2684.3999;-17.21;37.9;6;0;0;
10060;2;2772.6001;2772.6001;0.4424;114.7848;0;12.2613;107.5547;
26256;2;2082;2082;-9.3333;116.1958;0;0;0;
26256;59;2176.2;2818.8;-14.6166;77.3297;6;8.6187;85.2759;
26256;57;2850.8;2850;-17.4928;72.7924;6.25;30.5215;95.9467;
15490;2;1302;1302;-7.8682;116.2205;0;0;0;
15490;59;1485.6;1855.2;9.5047;26.031;6;69.8668;136.9925;
15490;52;1890.8;1890;16.6661;29.8107;6.25;91.7403;150.4577;
8702;56;1980;2016;8.69;64.6;6;0;0;
8702;10;2120.2;2120.2;25.2549;46.2479;6;18.1284;79.0173;
10607;53;2640;2682;-17.21;37.9;6;0;0;
10607;2;2833.8;2833.8;-0.2185;114.8124;0;25.4067;114.3257;
8669;56;1980;2019.6;24.19;64.6;6;0;0;
8669;13;2084.2;2084.2;11.4772;56.1251;6;24.4032;42.0458;
17957;2;1455;1455;-12.5864;116.6811;0;0;0;
17957;59;1527.6;2095.2;22.3614;47.245;6;5.4936;105.653;
17957;54;2121;2130;24.0713;47.349;6.25;25.2341;113.351;
5244;58;1020;1051.2;24.3101;82.1;6;0;0;
5244;1;1141.2;1141.2;1.2942;2.6338;0;6.1956;101.9009;
7843;52;1800;1839.6;16.6801;29.6;6;0;0;
7843;2;1960.8;1960.8;-2.5;114.7936;0;9.0802;133.437;
11420;54;2760;2762.3999;1.2001;47.1;6;0;0;
11420;2;2887;2887;-0.8429;114.6863;0;34.1111;135.4136;
14029;54;3480;3512.3999;1.2001;47.1;6;0;0;
14029;10;3513.2;3513.2;0.9603;46.6255;6;0.2611;0.5317;
2111;2;249;249;-5.5323;116.3994;0;0;0;
2111;52;410.2;450;16.5087;29.8005;6.25;31.4123;140.4274;
8940;56;1980;1994.4;24.19;64.6;6;0;0;
8940;2;2082.2;2082.2;0.5612;114.7769;0;3.3211;78.9333;
3635;2;370;370;-9.5783;115.4138;0;0;0;
3635;1;451.4;451.4;0.455;2.7512;0;5.0815;124.9798;
22433;2;1851;1851;11.546;116.3157;0;0;0;
22433;59;2132;2455.2;-9.0952;24.2067;6;134.8116;176.8822;
22433;59;2506.2;3175.2;-15.3517;21.3132;6;170.5467;194.8982;
22433;59;3417.6001;3600;-16.244;42.3316;6;503.3264;314.6515;
9530;51;2400;2448;-17.2899;20.4;6;0;0;
9530;2;2563.3999;2563.3999;-2.1881;114.8013;0;8.2672;125.5781;
